Track name, Artist name, Album, Playlist name, Type, ISRC
Give In To Me,Three Days Grace,Transit Of Venus,Something,Playlist track,TCABP1342470
The Days Go by Oh so Slow,Nightmare Of You,Nightmare of You,Something,Playlist track,TCABP1342488
Marry Me,Nightmare Of You,Nightmare of You,Something,Playlist track,USDW10400938
The World You Love,Jimmy Eat World,Futures (Deluxe Version),Something,Playlist track,GBAFL0400080
Love Love Love,The Mountain Goats,The Sunset Tree,Something,Playlist track,USRC11703664
The Mountain,Three Days Grace,Outsider,Something,Playlist track,USWB10702508
End of the World,Armor For Sleep,Smile For Them (Standard Version),Something,Playlist track,GBAHT1500414
Honeymoon Suite,Creeper,The Callous Heart,Something,Playlist track,GBAHT1500658
Astral Projection,Creeper,The Stranger,Something,Playlist track,USRE11000905
The Only Hope for Me Is You,My Chemical Romance,Danger Days: The True Lives of the Fabulous Killjoys,Something,Playlist track,USRE10900677
Horseshoes and Handgrenades,Green Day,21st Century Breakdown,Something,Playlist track,USRE10602906
The Sharpest Lives,My Chemical Romance,The Black Parade,Something,Playlist track,USHR21680002
I've Been Dead All Day,Bayside,Vacancy,Something,Playlist track,USEP40730103
The Antidote,Story Of The Year,The Black Swan,Something,Playlist track,USI2R0750304
The Deep End,Scary Kids Scaring Kids,Scary Kids Scaring Kids,Something,Playlist track,USHR21280007
Stuttering,Bayside,Cult White Edition,Something,Playlist track,USHR21711101
Lustration,Circa Survive,The Amulet,Something,Playlist track,USSM10415180
In Too Far,Acceptance,Phantoms,Something,Playlist track,USAT20802934
About a Girl,The Academy Is...,Fast Times At Barrington High,Something,Playlist track,USVR90643905
Calling All Cars,Senses Fail,Still Searching,Something,Playlist track,USMC10200073
Become What You Hate,Midtown,Living Well Is The Best Revenge,Something,Playlist track,USI2R0750302
Degenerates,Scary Kids Scaring Kids,Scary Kids Scaring Kids,Something,Playlist track,QMRSZ1600572
Chucky vs. The Giant Tortoise,Dance Gavin Dance,Mothership,Something,Playlist track,USHR21680009
The Ghost,Bayside,Vacancy,Something,Playlist track,USHR21680011
It's Not As Depressing As It Sounds,Bayside,Vacancy,Something,Playlist track,QMRSZ1800499
Midnight Crusade,Dance Gavin Dance,Midnight Crusade,Something,Playlist track,QMRSZ1600577
Inspire The Liars,Dance Gavin Dance,Mothership,Something,Playlist track,QMRSZ1600576
Deception,Dance Gavin Dance,Mothership,Something,Playlist track,QMRSZ1600574
Frozen One,Dance Gavin Dance,Mothership,Something,Playlist track,USHR21711102
